Dead,3rd,male,Youth,hasSibSp,noParch,Southampton
Survive,1st,female,Youth,hasSibSp,noParch,C85,Cherbourg
Survive,3rd,female,Youth,noSibSp,noParch,Southampton
Survive,1st,female,Youth,hasSibSp,noParch,C123,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Queenstown
Dead,1st,male,Middle-aged,noSibSp,noParch,E46,Southampton
Dead,3rd,male,Child,hasSibSp,hasParch,Southampton
Survive,3rd,female,Youth,noSibSp,hasParch,Southampton
Survive,2nd,female,Teenager,hasSibSp,noParch,Cherbourg
Survive,3rd,female,Child,hasSibSp,hasParch,G6,Southampton
Survive,1st,female,Middle-aged,noSibSp,noParch,C103,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,hasSibSp,hasParch,Southampton
Dead,3rd,female,Teenager,noSibSp,noParch,Southampton
Survive,2nd,female,Middle-aged,noSibSp,noParch,Southampton
Dead,3rd,male,Child,hasSibSp,hasParch,Queenstown
Survive,2nd,male,noSibSp,noParch,Southampton
Dead,3rd,female,Youth,hasSibSp,noParch,Southampton
Survive,3rd,female,noSibSp,noParch,Cherbourg
Dead,2nd,male,Youth,noSibSp,noParch,Southampton
Survive,2nd,male,Youth,noSibSp,noParch,D56,Southampton
Survive,3rd,female,Teenager,noSibSp,noParch,Queenstown
Survive,1st,male,Youth,noSibSp,noParch,A6,Southampton
Dead,3rd,female,Child,hasSibSp,hasParch,Southampton
Survive,3rd,female,Youth,hasSibSp,hasParch,Southampton
Dead,3rd,male,noSibSp,noParch,Cherbourg
Dead,1st,male,Teenager,hasSibSp,hasParch,C23 C25 C27,Southampton
Survive,3rd,female,noSibSp,noParch,Queenstown
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,1st,male,Middle-aged,noSibSp,noParch,Cherbourg
Survive,1st,female,hasSibSp,noParch,B78,Cherbourg
Survive,3rd,female,noSibSp,noParch,Queenstown
Dead,2nd,male,Elderly,noSibSp,noParch,Southampton
Dead,1st,male,Youth,hasSibSp,noParch,Cherbourg
Dead,1st,male,Middle-aged,hasSibSp,noParch,Southampton
Survive,3rd,male,noSibSp,noParch,Cherbourg
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,female,Teenager,hasSibSp,noParch,Southampton
Survive,3rd,female,Teenager,hasSibSp,noParch,Cherbourg
Dead,3rd,female,Middle-aged,hasSibSp,noParch,Southampton
Dead,2nd,female,Youth,hasSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Cherbourg
Survive,2nd,female,Child,hasSibSp,hasParch,Cherbourg
Survive,3rd,female,Teenager,noSibSp,noParch,Queenstown
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,3rd,male,hasSibSp,noParch,Queenstown
Survive,3rd,female,noSibSp,noParch,Queenstown
Dead,3rd,male,hasSibSp,noParch,Cherbourg
Dead,3rd,female,Teenager,hasSibSp,noParch,Southampton
Dead,3rd,male,Child,hasSibSp,hasParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,1st,female,Middle-aged,hasSibSp,noParch,D33,Cherbourg
Survive,2nd,female,Youth,hasSibSp,noParch,Southampton
Dead,1st,male,Elderly,noSibSp,hasParch,B30,Cherbourg
Survive,1st,male,noSibSp,noParch,C52,Southampton
Survive,2nd,female,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Cherbourg
Survive,2nd,female,Child,hasSibSp,hasParch,Southampton
Dead,3rd,male,Child,hasSibSp,hasParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Cherbourg
Survive,1st,female,Youth,noSibSp,noParch,B28
Dead,1st,male,Middle-aged,hasSibSp,noParch,C83,Southampton
Dead,3rd,male,Child,hasSibSp,hasParch,Southampton
Dead,1st,male,noSibSp,noParch,Cherbourg
Survive,3rd,male,hasSibSp,hasParch,Cherbourg
Survive,2nd,female,Youth,noSibSp,noParch,F33,Southampton
Dead,3rd,male,Teenager,noSibSp,noParch,Southampton
Survive,3rd,female,Teenager,hasSibSp,hasParch,Southampton
Dead,3rd,male,Youth,hasSibSp,noParch,Southampton
Dead,2nd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,female,Teenager,hasSibSp,hasParch,Southampton
Dead,2nd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,hasSibSp,noParch,Cherbourg
Survive,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,F G73,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Survive,2nd,male,Child,noSibSp,hasParch,Southampton
Survive,3rd,female,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,3rd,female,noSibSp,noParch,Queenstown
Dead,1st,male,Youth,noSibSp,noParch,Southampton
Survive,2nd,female,Teenager,noSibSp,noParch,Southampton
Survive,3rd,female,Youth,hasSibSp,noParch,Southampton
Dead,3rd,male,Teenager,hasSibSp,hasParch,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Survive,1st,female,Youth,hasSibSp,hasParch,C23 C25 C27,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,1st,male,Middle-aged,hasSibSp,noParch,E31,Southampton
Dead,3rd,male,Youth,hasSibSp,hasParch,Southampton
Dead,3rd,male,Middle-aged,noSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,1st,male,Elderly,noSibSp,noParch,A5,Cherbourg
Survive,1st,male,Youth,noSibSp,hasParch,D10 D12,Cherbourg
Survive,2nd,female,Youth,noSibSp,hasParch,Southampton
Dead,2nd,male,Youth,hasSibSp,noParch,Southampton
Dead,3rd,female,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,1st,male,Youth,noSibSp,hasParch,D26,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,hasSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,3rd,female,Youth,noSibSp,noParch,Southampton
Survive,3rd,male,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,3rd,female,hasSibSp,noParch,Queenstown
Dead,1st,male,Middle-aged,noSibSp,noParch,C110,Southampton
Dead,3rd,female,Teenager,hasSibSp,noParch,Cherbourg
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,female,Youth,hasSibSp,noParch,Southampton
Dead,3rd,female,Teenager,noSibSp,noParch,Cherbourg
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,male,Elderly,noSibSp,noParch,Queenstown
Dead,2nd,male,Youth,hasSibSp,noParch,Southampton
Dead,1st,male,Youth,noSibSp,hasParch,B58 B60,Cherbourg
Dead,3rd,female,Child,hasSibSp,hasParch,Southampton
Dead,2nd,male,Youth,hasSibSp,noParch,Southampton
Dead,3rd,male,noSibSp,noParch,Southampton
Dead,2nd,male,Youth,hasSibSp,noParch,Cherbourg
Survive,2nd,female,Youth,noSibSp,noParch,E101,Southampton
Dead,1st,male,Middle-aged,noSibSp,hasParch,D26,Southampton
Survive,3rd,male,Teenager,hasSibSp,noParch,Cherbourg
Dead,3rd,male,noSibSp,noParch,Queenstown
Survive,3rd,male,Youth,noSibSp,noParch,Southampton
Survive,3rd,female,hasSibSp,hasParch,F E69,Cherbourg
Dead,3rd,male,Middle-aged,noSibSp,noParch,Southampton
Dead,3rd,male,Youth,noSibSp,noParch,Cherbourg
Dead,3rd,male,Youth,noSibSp,noParch,Southampton
Dead,3rd,female,Middle-aged,hasSibSp,noParch,Southampton
Survive,2nd,female,Youth,hasSibSp,noParch,Southampton
Dead,2nd,male,Youth,noSibSp,noParch,Southampton
Dead,2nd,male,Youth,noSibSp,noParch,Cherbourg
Survive,1st,female,Teenager,noSibSp,hasParch,D47,Southampton
Dead,1st,male,Youth,hasSibSp,noParch,C123,Southampton
Dead,3rd,male,Teenager,noSibSp,noParch,Southampton
Dead,1st,male,Youth,noSibSp,noParch,B86,Cherbourg
Dead,3rd,female,noSibSp,hasParch,Cherbourg
Survive,3rd,female,Youth,noSibSp,noParch,Southampton
Survive,3rd,female,Youth,hasSibSp,noParch,Southampton
Dead,3rd,male,Teenager,noSibSp,noParch,Queenstown
