3class -->Dead相对支持度：0.3793466807165437置信度：0.7605633802816901
Dead -->3class相对支持度：0.3793466807165437置信度：0.6367924528301887
male -->Dead相对支持度：0.505795574288725置信度：0.7947019867549668
Dead -->male相对支持度：0.505795574288725置信度：0.8490566037735849
youth -->Dead相对支持度：0.3259571478749561置信度：0.6041666666666666
Dead -->youth相对支持度：0.3259571478749561置信度：0.5471698113207547
noParch -->Dead相对支持度：0.47067088162978576置信度：0.6454720616570327
Dead -->noParch相对支持度：0.47067088162978576置信度：0.7900943396226415
S -->Dead相对支持度：0.495960660344222置信度：0.6371841155234657
Dead -->S相对支持度：0.495960660344222置信度：0.8325471698113207
noSibsp -->Dead相对支持度：0.4158763610818405置信度：0.6311300639658849
Dead -->noSibsp相对支持度：0.4158763610818405置信度：0.6981132075471698
male -->3class相对支持度：0.35546188970846504置信度：0.5584988962472406
3class -->male相对支持度：0.35546188970846504置信度：0.7126760563380282
3class -->youth相对支持度：0.2697576396206533置信度：0.5408450704225352
noParch -->3class相对支持度：0.37091675447839834置信度：0.5086705202312138
3class -->noParch相对支持度：0.37091675447839834置信度：0.7436619718309859
S -->3class相对支持度：0.40744643484369514置信度：0.5234657039711191
3class -->S相对支持度：0.40744643484369514置信度：0.8169014084507042
noSibsp -->3class相对支持度：0.3498419388830348置信度：0.5309168443496801
3class -->noSibsp相对支持度：0.3498419388830348置信度：0.7014084507042253
youth -->male相对支持度：0.3498419388830348置信度：0.6484375
male -->youth相对支持度：0.3498419388830348置信度：0.5496688741721855
noParch -->male相对支持度：0.5170354759395855置信度：0.7090558766859345
male -->noParch相对支持度：0.5170354759395855置信度：0.8123620309050773
S -->male相对支持度：0.5170354759395855置信度：0.6642599277978339
male -->S相对支持度：0.5170354759395855置信度：0.8123620309050773
noSibsp -->male相对支持度：0.4594309799789252置信度：0.697228144989339
male -->noSibsp相对支持度：0.4594309799789252置信度：0.7218543046357616
noParch -->youth相对支持度：0.4453811029153495置信度：0.6107899807321773
youth -->noParch相对支持度：0.4453811029153495置信度：0.8255208333333334
S -->youth相对支持度：0.4271162627327011置信度：0.5487364620938628
youth -->S相对支持度：0.4271162627327011置信度：0.7916666666666666
Survived -->youth相对支持度：0.21355813136635055置信度：0.5277777777777778
noSibsp -->youth相对支持度：0.38215665612925886置信度：0.579957356076759
youth -->noSibsp相对支持度：0.38215665612925886置信度：0.7083333333333334
yesSibsp -->S相对支持度：0.2599227256761503置信度：0.7613168724279835
S -->noParch相对支持度：0.5732349841938883置信度：0.7364620938628159
noParch -->S相对支持度：0.5732349841938883置信度：0.7861271676300579
Survived -->noParch相对支持度：0.25851773796979277置信度：0.6388888888888888
female -->noParch相对支持度：0.21215314365999297置信度：0.583011583011583
noSibsp -->noParch相对支持度：0.5648050579557429置信度：0.8571428571428571
noParch -->noSibsp相对支持度：0.5648050579557429置信度：0.7745664739884393
Survived -->S相对支持度：0.28240252897787144置信度：0.6979166666666666
female -->S相对支持度：0.2613277133825079置信度：0.7181467181467182
noSibsp -->S相对支持度：0.5184404636459431置信度：0.7867803837953091
S -->noSibsp相对支持度：0.5184404636459431置信度：0.6660649819494585
yesParch -->S相对支持度：0.20512820512820512置信度：0.7564766839378239
2class -->S相对支持度：0.2191780821917808置信度：0.9017341040462428
female -->Survived相对支持度：0.273972602739726置信度：0.752895752895753
Survived -->female相对支持度：0.273972602739726置信度：0.6770833333333334
Survived -->noSibsp相对支持度：0.2430628731998595置信度：0.6006944444444444
3class male -->Dead相对支持度：0.3020723568668774置信度：0.849802371541502
Dead male -->3class相对支持度：0.3020723568668774置信度：0.5972222222222222
Dead 3class -->male相对支持度：0.3020723568668774置信度：0.7962962962962963
3class youth -->Dead相对支持度：0.20934316824727783置信度：0.7760416666666666
Dead youth -->3class相对支持度：0.20934316824727783置信度：0.6422413793103449
Dead 3class -->youth相对支持度：0.20934316824727783置信度：0.5518518518518518
3class noParch -->Dead相对支持度：0.2922374429223744置信度：0.7878787878787878
Dead noParch -->3class相对支持度：0.2922374429223744置信度：0.6208955223880597
Dead 3class -->noParch相对支持度：0.2922374429223744置信度：0.7703703703703704
3class S -->Dead相对支持度：0.3217421847558834置信度：0.7896551724137931
Dead S -->3class相对支持度：0.3217421847558834置信度：0.6487252124645893
Dead 3class -->S相对支持度：0.3217421847558834置信度：0.8481481481481481
3class noSibsp -->Dead相对支持度：0.2655426765015806置信度：0.7590361445783133
Dead noSibsp -->3class相对支持度：0.2655426765015806置信度：0.6385135135135135
Dead 3class -->noSibsp相对支持度：0.2655426765015806置信度：0.7
male youth -->Dead相对支持度：0.2852125043905866置信度：0.8152610441767069
Dead youth -->male相对支持度：0.2852125043905866置信度：0.875
Dead male -->youth相对支持度：0.2852125043905866置信度：0.5638888888888889
male noParch -->Dead相对支持度：0.42430628731998593置信度：0.8206521739130435
Dead noParch -->male相对支持度：0.42430628731998593置信度：0.9014925373134328
Dead male -->noParch相对支持度：0.42430628731998593置信度：0.8388888888888889
male S -->Dead相对支持度：0.4214963119072708置信度：0.8152173913043478
Dead S -->male相对支持度：0.4214963119072708置信度：0.8498583569405099
Dead male -->S相对支持度：0.4214963119072708置信度：0.8333333333333334
male noSibsp -->Dead相对支持度：0.37513171759747105置信度：0.8165137614678899
Dead noSibsp -->male相对支持度：0.37513171759747105置信度：0.902027027027027
Dead male -->noSibsp相对支持度：0.37513171759747105置信度：0.7416666666666667
youth noParch -->Dead相对支持度：0.2852125043905866置信度：0.6403785488958991
Dead noParch -->youth相对支持度：0.2852125043905866置信度：0.6059701492537314
Dead youth -->noParch相对支持度：0.2852125043905866置信度：0.875
youth S -->Dead相对支持度：0.27256761503336846置信度：0.6381578947368421
Dead S -->youth相对支持度：0.27256761503336846置信度：0.5495750708215298
Dead youth -->S相对支持度：0.27256761503336846置信度：0.8362068965517241
youth noSibsp -->Dead相对支持度：0.24165788549350192置信度：0.6323529411764706
Dead noSibsp -->youth相对支持度：0.24165788549350192置信度：0.581081081081081
Dead youth -->noSibsp相对支持度：0.24165788549350192置信度：0.7413793103448276
noParch S -->Dead相对支持度：0.40042149631190727置信度：0.6985294117647058
Dead S -->noParch相对支持度：0.40042149631190727置信度：0.8073654390934845
Dead noParch -->S相对支持度：0.40042149631190727置信度：0.8507462686567164
noParch noSibsp -->Dead相对支持度：0.384966631541974置信度：0.681592039800995
Dead noSibsp -->noParch相对支持度：0.384966631541974置信度：0.9256756756756757
Dead noParch -->noSibsp相对支持度：0.384966631541974置信度：0.817910447761194
S noSibsp -->Dead相对支持度：0.3470319634703196置信度：0.6693766937669376
Dead noSibsp -->S相对支持度：0.3470319634703196置信度：0.8344594594594594
Dead S -->noSibsp相对支持度：0.3470319634703196置信度：0.6997167138810199
male youth -->3class相对支持度：0.20512820512820512置信度：0.5863453815261044
3class youth -->male相对支持度：0.20512820512820512置信度：0.7604166666666666
3class male -->youth相对支持度：0.20512820512820512置信度：0.5770750988142292
